DateTime,Country,City,Temperature
2022-05-20 06:15:53,TURKEY,Manisa Province,22
2022-05-20 06:15:53,TURKEY,Manisa Province,22
2022-05-20 07:47:10,TURKEY,Manisa Province,17
2022-05-20 07:47:10,TURKEY,Manisa Province,17
